536870912;1;8192;65536
536870912;2;16384;65536
536870912;4;16384;131072
536870912;8;32768;131072
536870912;16;32768;262144
536870912;32;65536;262144
536870912;64;65536;524288
536870912;128;131072;524288
536870912;256;131072;1048576
536870912;512;262144;1048576
536870912;1024;262144;2097152
536870912;2048;524288;2097152
536870912;4096;524288;4194304
536870912;8192;1048576;4194304
536870912;16384;1048576;8388608
536870912;32768;2097152;8388608
536870912;65536;2097152;16777216
536870912;131072;4194304;16777216
536870912;262144;4194304;33554432
536870912;524288;8388608;33554432
536870912;1048576;8388608;67108864
1073741824;1;16384;65536
1073741824;2;16384;131072
1073741824;4;32768;131072
1073741824;8;32768;262144
1073741824;16;65536;262144
1073741824;32;65536;524288
1073741824;64;131072;524288
1073741824;128;131072;1048576
1073741824;256;262144;1048576
1073741824;512;262144;2097152
1073741824;1024;524288;2097152
1073741824;2048;524288;4194304
1073741824;4096;1048576;4194304
1073741824;8192;1048576;8388608
1073741824;16384;2097152;8388608
1073741824;32768;2097152;16777216
1073741824;65536;4194304;16777216
1073741824;131072;4194304;33554432
1073741824;262144;8388608;33554432
1073741824;524288;8388608;67108864
1073741824;1048576;16777216;67108864
1073741824;2097152;16777216;134217728
268435456;33554432;33554432;268435456
268435456;33554432;33554432;268435456
536870912;33554432;67108864;536870912
