D;27;1;15;0.535965;0.195026;2.44498;0.118017;0;3.299
D;27;2;14;0.570059;0.298023;2.33293;0.118017;0;3.32689
D;27;4;14;0.548124;0.207901;2.29001;0.117064;0;3.17097
D;27;8;13;0.549078;0.216007;2.17795;0.0870228;0;3.03507
D;27;16;13;0.545979;0.190973;2.23207;0.0939369;0;3.06892
D;27;32;12;0.553846;0.221968;2.13909;0.0891685;0;3.01313
D;27;64;12;0.544071;0.217915;2.18391;0.120878;0;3.07488
D;27;128;11;0.547886;0.448227;2.0678;0.216961;0;3.28684
D;27;256;11;0.546932;0.476122;2.09904;0.216961;0;3.35097
D;27;512;10;0.574112;0.545979;2.14791;0.118971;0;3.39913
D;27;1024;10;0.557899;0.491142;2.08282;0.243902;0;3.38292
D;27;2048;9;0.597;0.422955;2.12502;0.247955;0;3.4008
D;27;4096;9;0.571012;0.315905;2.0802;0.116825;0;3.09587
D;27;8192;8;0.582218;0.577927;2.08497;0.226974;0;3.479
D;27;16384;8;0.583887;0.601053;2.1081;0.211;0;3.50904
D;27;32768;7;0.644922;0.766993;2.10595;0.126839;0;3.65186
D;27;65536;7;0.648022;0.814915;2.18105;0.231981;0;3.88288
D;27;131072;6;0.741959;1.17707;2.94113;0.117064;0;4.98319
D;27;262144;6;0.775099;1.19996;2.36583;0.161886;0;4.51088
B;27;524288;5;0.974178;4.42481;0.0691414;0.375032;0;5.84912
B;27;1048576;5;1.00994;4.58503;0.154018;0.391006;0;6.14786
B;27;2097152;5;1.00899;4.60982;0.393152;0.565052;0;6.58607
